serial,sighting_count,latest_date,latest_location,image_url
F92174927B,1,2021-10-22T00:00:00+00:00,"Marlton, Evesham, NJ, USA",
K74366415C,1,2021-08-08T00:00:00+00:00,"Modesto, CA, USA",http://s3.amazonaws.com/bonerbucks-s3-assets/images/278/large.jpeg
D47914887C,1,2021-03-11T00:00:00+00:00,"Manchester, NH, USA",
F01610513D,1,2021-01-05T00:00:00+00:00,"Portland, OR, USA",
C36045746B,2,2020-04-03T00:00:00+00:00,"Portland, ME, USA",
G12371556H,1,2019-12-25T00:00:00+00:00,"Franklinville, Franklin, NJ, USA",
L43827375W,2,2019-08-14T00:00:00+00:00,"Tampa, FL, USA",
B31950869M,2,2019-02-23T00:00:00+00:00,"Portland, ME, USA",
F24370397S,1,2019-02-17T00:00:00+00:00,"San Francisco, CA, USA",http://s3.amazonaws.com/bonerbucks-s3-assets/images/269/large.JPG
C18368988B,1,2018-12-16T00:00:00+00:00,"Indianapolis, IN, USA",
E07376933A,1,2018-12-04T00:00:00+00:00,"San Diego, CA, USA",
F67268487N,1,2018-11-16T00:00:00+00:00,"Oakland, CA, USA",
C02675265C,1,2018-09-17T00:00:00+00:00,"Oakland, CA, USA",
E30516105F,1,2018-09-14T00:00:00+00:00,"Philadelphia, PA, USA",
E45266143A,1,2018-07-08T00:00:00+00:00,"Berkeley, CA, USA",http://s3.amazonaws.com/bonerbucks-s3-assets/images/261/large.jpg
E50369214C,1,2018-07-08T00:00:00+00:00,"Berkeley, CA, USA",http://s3.amazonaws.com/bonerbucks-s3-assets/images/262/large.jpg
C27135875B,1,2018-05-27T00:00:00+00:00,"South Hill, WA, USA",
G87297310B,1,2018-05-19T00:00:00+00:00,"San Francisco, CA, USA",
J44699290D,1,2018-03-03T00:00:00+00:00,"Boise, ID, USA",
J89829060A,1,2018-02-28T00:00:00+00:00,"Oakland, CA, USA",http://s3.amazonaws.com/bonerbucks-s3-assets/images/257/large.JPG
